"","date","tradevalMTUM","tradevalQUAL","tradevalVLUE","tradevalSIZE","tradevalUSMV","tradevalSPY"
"254",2015-04-17,2007177.33,4590709.55,386554.91,98766.24,26212096.19,39747453607.9
"255",2015-04-20,5123490.64,1921478.1,68907.66,119130.15,22738969.5,19346276953.98
"256",2015-04-22,2336456.3,1999208.42,19347.21,35721.7,39934090.67,16445541837.37
"257",2015-04-23,823190.98,3224124.3,37147.22,16298.82,41598208.72,21662034381.72
"258",2015-04-24,1007029.9,15917724.96,26553253.57,16964.64,59730947.53,12976345772.52
"259",2015-04-27,1602946.03,36471671.06,84615.53,837672.52,26043501.71,16776536546.52
"260",2015-04-28,2115200.46,13046305.35,44682.62,39087.74,39298349,18304845439.65
"261",2015-04-29,6846782.01,2873427.63,4866153.46,78062.42,23996910.25,26460973772.99
"262",2015-04-30,1591920.68,36997805.98,417835.18,33440586.94,60379619.86,33706822767.56
"263",2015-05-01,1550140.44,2730554.54,51502.62,23693.2,31958753.72,21719111053.35
"264",2015-05-04,1028670.72,63376117.92,76839.46,77151.88,26221471.21,15005507691.07
"265",2015-05-05,952143.69,5068874.44,45648.91,415727.63,47552042.36,23768233429.76
"266",2015-05-06,1703012.83,1494871.92,195634.37,74261.26,18281708.44,28087776739.35
"267",2015-05-07,2685129.69,7381232.48,47152.72,453483.1,40821333.32,18404832472.83
"268",2015-05-08,1337477.56,1054273.57,36709.13,233586.23,66205151.62,32963784261.42
"269",2015-05-12,1008171.91,2511660.38,32800.55,18359,25553419.41,25112305688.7
"270",2015-05-13,1345219.52,1960017.59,559605.92,52168.85,18264347.45,19905894358.17
"271",2015-05-15,3963011.07,1162211.61,46221.6,13182.98,16674757.57,16237178180.34
"272",2015-05-18,1446531.05,1964449.77,86277.74,19550.68,18803611.05,15868238162.32
"273",2015-05-20,2533352.63,904563.53,19401.1,40465.81,24268645.98,16371381346.52
"274",2015-05-21,2486197.97,2399890.8,275828.33,38724.74,13265883.94,13815728093.51
"275",2015-05-22,2321194,1990424.91,88342.18,155419.58,15646167.75,12244140949.12
"276",2015-05-26,1597564.55,1293519.31,163773.9,66698.83,19875897.73,26219424228.97
"277",2015-05-27,995570.95,5545148.69,72486.01,35544.21,17523316.41,19783430610.94
"278",2015-05-28,773000.34,2428355.69,45192.04,879218.9,19679724.04,15905684436.16
"279",2015-05-29,3626231.42,1727584.93,45761.98,63866.75,18517475.28,26416865189.13
"280",2015-06-03,1775072.45,2362141.65,67863.8,48823.05,34508419.76,18615243428.11
"281",2015-06-05,1174396.16,1450429.33,94782.69,38220.88,34784111.4,25538353673.26
"282",2015-06-08,755184.92,1212675.47,79246.02,32218.55,36000445.66,18612676292.97
"283",2015-06-09,1495544,2891511.22,82535.58,79807.08,22968358.95,21895641448.72
"284",2015-06-10,723611.81,1734652.3,249032.32,104317.6,24860002.66,28364208901.67
"285",2015-06-11,1541889.44,1340279.93,317396.05,13406,19118391.98,15632119809.28
"286",2015-06-12,942266.04,1543956.36,432830.05,149707,59457058.22,28450141025.35
"287",2015-06-15,869242.43,1759444.17,144260.69,58724.81,24424862.91,25965693085.9
"288",2015-06-16,1238553.65,2348974.5,72071.6,46251.77,85072005.77,17890494673.81
"289",2015-06-18,1289767.26,2475295.5,204916.73,16618.53,25630095.41,35262463407.32
"290",2015-06-19,7635025.73,1656035.66,50745.76,34087.82,19667404.33,27538279262.13
"291",2015-06-22,1041685.45,1800055.75,180266.05,52444.14,32896771.01,14990138482.47
"292",2015-06-24,1695637.04,941435.62,19023.17,22405.6,31645868.47,19488230205.68
"293",2015-06-29,3901288.54,2725877.43,152211.59,16782.1,58585619.01,41922348727.89
"294",2015-06-30,1223730.71,3328024.11,108068.18,35736.78,26755350.26,37722910297.45
"295",2015-07-01,2751862.04,1892898.31,64695.64,7637.44,101843211.38,28185683028.75
"296",2015-07-07,14853508.34,1024487.37,594552.59,155612.23,49272760.28,35824932140.33
"297",2015-07-08,3555575.12,1667200.26,15887724.2,40625.7,111304967.25,33669941759.79
"298",2015-07-10,8770118.92,2652599.73,633981.79,78017.76,41807726.6,26839371516.39
"299",2015-07-14,4005470.68,3265936.26,135377.39,37546.7,26483846.89,17202454995.64
"300",2015-07-15,4286025.78,3905449.77,225067.68,14288.78,26231548.43,20629464079.42
"301",2015-07-20,31674651.5,10264967.47,226750.64,237418.14,22250840.26,14986102707.21
"302",2015-07-21,7024410.32,6960708.28,178552.84,156691.4,58407524.86,16523678845.77
"303",2015-07-27,8722808.26,2928986.5,714261.54,116467.47,28274906.24,27368605885.07
"304",2015-07-28,2754406.9,1536819.39,18113.88,36401.36,19407987.89,25738425941.05
"305",2015-07-31,3087334.83,31583534.59,22191.12,13392,17659726.96,21759345910.51
"306",2015-08-03,20579344.65,11152534.91,210755.29,40020,29283127.73,23881444680.54
"307",2015-08-05,10219746.12,7638640.9,524732.95,2211254.83,33728014.53,18059163942.64
"308",2015-08-06,15202908.23,4451765.06,854945.13,76751.52,49799428.67,24201782514.35
"309",2015-08-10,10358996.18,2538643.91,92967.35,204139.85,17469700.52,16871751114.28
