"date","changepMTUM","changepMTUM & changepQUAL","changepMTUM & changepVLUE","changepMTUM & changepSIZE","changepMTUM & changepUSMV","changepMTUM & changepSPY","changepQUAL","changepQUAL & changepVLUE","changepQUAL & changepSIZE","changepQUAL & changepUSMV","changepQUAL & changepSPY","changepVLUE","changepVLUE & changepSIZE","changepVLUE & changepUSMV","changepVLUE & changepSPY","changepSIZE","changepSIZE & changepUSMV","changepSIZE & changepSPY","changepUSMV","changepUSMV & changepSPY","changepSPY"
2017-12-12,3.63809047619048e-05,1.72213333333333e-05,1.80900238095238e-05,1.19285952380952e-05,1.6162619047619e-05,2.08346428571429e-05,1.44943333333333e-05,1.71706666666667e-05,1.19131666666667e-05,1.23593333333333e-05,1.49535e-05,2.8502619047619e-05,1.68289761904762e-05,1.29590952380952e-05,1.86122142857143e-05,1.39609047619048e-05,1.0432380952381e-05,1.26248571428571e-05,1.28354761904762e-05,1.31500714285714e-05,1.72302857142857e-05
2017-12-13,3.6490619047619e-05,1.74160952380952e-05,1.84936428571429e-05,1.24817380952381e-05,1.6295e-05,2.11770238095238e-05,1.45754761904762e-05,1.73692142857143e-05,1.20076904761905e-05,1.22515e-05,1.5020119047619e-05,2.89735714285714e-05,1.71267857142857e-05,1.2775e-05,1.88124285714286e-05,1.37734761904762e-05,9.95e-06,1.25360476190476e-05,1.2551e-05,1.2862e-05,1.71919047619048e-05
2017-12-14,3.83435714285714e-05,1.93085714285714e-05,2.13056428571429e-05,1.47725e-05,1.79127142857143e-05,2.30043571428571e-05,1.62635714285714e-05,1.98926428571429e-05,1.4392e-05,1.39892142857143e-05,1.66653571428571e-05,3.27446190476191e-05,2.06668333333333e-05,1.53517619047619e-05,2.12707142857143e-05,1.65973333333333e-05,1.19343333333333e-05,1.48355e-05,1.39334761904762e-05,1.45345714285714e-05,1.87942857142857e-05
2017-12-15,4.27443333333333e-05,2.18883333333333e-05,2.40708333333333e-05,1.75668333333333e-05,2.18323333333333e-05,2.56341666666667e-05,1.77714761904762e-05,2.15792619047619e-05,1.60297619047619e-05,1.62414047619048e-05,1.82389523809524e-05,3.3496619047619e-05,2.2427119047619e-05,1.84980476190476e-05,2.24430238095238e-05,1.8371619047619e-05,1.44200476190476e-05,1.65075238095238e-05,1.6950619047619e-05,1.72098095238095e-05,2.01319047619048e-05
2017-12-18,4.3155e-05,2.08585e-05,2.5101e-05,1.7715e-05,1.96175e-05,2.494e-05,1.51194761904762e-05,2.0592380952381e-05,1.5205380952381e-05,1.27754285714286e-05,1.60221428571429e-05,3.55939047619048e-05,2.29369047619048e-05,1.56931428571429e-05,2.19087142857143e-05,1.83859047619048e-05,1.28406428571429e-05,1.59147142857143e-05,1.33522857142857e-05,1.41339285714286e-05,1.83131428571429e-05
2017-12-19,4.16329047619048e-05,1.99697380952381e-05,2.21474047619048e-05,1.70539285714286e-05,1.97063571428571e-05,2.41505714285714e-05,1.46309047619048e-05,1.87377380952381e-05,1.48819285714286e-05,1.30368571428571e-05,1.56515714285714e-05,3.04189047619048e-05,2.13864285714286e-05,1.49688571428571e-05,1.99900714285714e-05,1.82275714285714e-05,1.33106428571429e-05,1.57579285714286e-05,1.47922857142857e-05,1.48033571428571e-05,1.81725714285714e-05
2017-12-20,4.11614761904762e-05,2.01875e-05,2.19024047619048e-05,1.73017380952381e-05,2.00650238095238e-05,2.43694761904762e-05,1.4931e-05,1.86685e-05,1.5248e-05,1.348e-05,1.59435e-05,3.0374619047619e-05,2.12964523809524e-05,1.48780952380952e-05,1.99249047619048e-05,1.8673619047619e-05,1.38522619047619e-05,1.61142380952381e-05,1.54444761904762e-05,1.52340238095238e-05,1.84564761904762e-05
2017-12-21,3.92445714285714e-05,1.90030714285714e-05,2.0875e-05,1.66279285714286e-05,1.86659285714286e-05,2.27962142857143e-05,1.42769047619048e-05,1.80081666666667e-05,1.47564285714286e-05,1.26314285714286e-05,1.48592142857143e-05,2.98323333333333e-05,2.096e-05,1.4123e-05,1.91185e-05,1.85095714285714e-05,1.33450714285714e-05,1.56697857142857e-05,1.44265714285714e-05,1.40627857142857e-05,1.73271428571429e-05
2017-12-22,3.80411428571429e-05,1.81807142857143e-05,2.05272857142857e-05,1.59193571428571e-05,1.77305714285714e-05,2.22662857142857e-05,1.38415714285714e-05,1.79734285714286e-05,1.41917857142857e-05,1.19653571428571e-05,1.46089285714286e-05,3.00569047619048e-05,2.0626380952381e-05,1.38096428571429e-05,1.91445714285714e-05,1.81434761904762e-05,1.28114285714286e-05,1.52867142857143e-05,1.37052857142857e-05,1.36271428571429e-05,1.71925714285714e-05
2017-12-26,3.86132857142857e-05,1.84464285714286e-05,2.14094285714286e-05,1.61586428571429e-05,1.77997857142857e-05,2.27191428571429e-05,1.39551428571429e-05,1.83091428571429e-05,1.42882142857143e-05,1.20234285714286e-05,1.48182142857143e-05,3.08604761904762e-05,2.08847142857143e-05,1.41114285714286e-05,1.98350476190476e-05,1.82215714285714e-05,1.28791428571429e-05,1.54745714285714e-05,1.36452857142857e-05,1.36846428571429e-05,1.75509047619048e-05
2017-12-27,3.83263333333333e-05,1.81178333333333e-05,2.02623333333333e-05,1.60446666666667e-05,1.81038333333333e-05,2.23396666666667e-05,1.37923333333333e-05,1.78558333333333e-05,1.42936666666667e-05,1.20878333333333e-05,1.46571666666667e-05,2.9741619047619e-05,2.09770238095238e-05,1.41833333333333e-05,1.94202380952381e-05,1.82629047619048e-05,1.28191666666667e-05,1.54980476190476e-05,1.37003333333333e-05,1.37231666666667e-05,1.73994761904762e-05
