"date","volumeMTUM","volumeQUAL","volumeVLUE","volumeSIZE","volumeUSMV","volumeSPY"
2016-02-02,758883,687956,2428,321,3394036,182564890
2016-02-03,611723,215799,15930,1673,6882928,205054934
2016-02-04,406594,495407,187047,325,4827089,139531794
2016-02-05,427179,677516,29491,401,5128054,180788308
2016-02-08,630975,616614,29631,4882,4246619,191526694
2016-02-09,609851,155764,19184,702,5740708,184513136
2016-02-10,668347,362697,13815,4282,4978968,148214057
2016-02-11,304919,358649,6333,1884,5332120,219058885
2016-02-12,506214,539007,232993,196,4594363,127632393
2016-02-16,146194,129475,7474,2635,3645255,120250668
2016-02-17,205092,199873,2581,578,3804943,136009496
2016-02-18,125753,501897,6357,1243,5903415,102342997
2016-02-19,92633,125083,328116,545,19258831,114792988
2016-02-22,189035,210232,32173,365,6749493,103640292
2016-02-23,118402,1070449,10289,517,4958849,111455289
2016-02-24,110079,122901,3756,304,4598029,150812152
2016-02-26,107334,971842,28023,851,4249460,129833663
2016-02-29,240437,175988,8689,238,4204371,125918102
2016-03-01,295324,128859,11754,1104,3519672,141799687
2016-03-03,267993,252505,6989,1995,3706158,95172197
2016-03-07,334836,110503,104050,2243,3868716,100218998
2016-03-09,75895,104773,19378,276,4689780,94801213
2016-03-10,125367,172978,12381,434,5539457,156838697
2016-03-16,280974,122721,20406,1860,4154289,129303179
2016-03-17,454430,692740,27763,1294,3983322,134143421
2016-03-18,187256,104641,12461,3200,5043633,138372404
2016-03-21,234490,81547,9551,798,3330967,72926659
2016-03-22,286766,763177,10680,748,3198206,97471939
2016-03-23,82195,88680,19592,505,2967806,81052455
2016-03-28,262377,123813,33574,667,4021683,62408185
2016-03-30,143004,495121,48917,1609,3486432,86365310
2016-04-01,366196,255192,8489,402,4295267,114423478
2016-04-04,416478,153645,8534,1293,3833622,63496969
2016-04-05,308256,133068,11650,348,4223208,99662158
2016-04-07,329465,201456,9015,306,4857686,113859037
2016-04-08,345407,76366,5412,294,4401886,95040598
